"FID","FID.1","mean","sd","skewness","kurtosis"
"153",153,0.608432777690191,0.0978389690874035,-0.598079519282895,0.49211122732385
"154",154,0.651555778885652,0.0796309101829276,-0.67795993677762,0.52455212112463
"155",155,0.570880724205253,0.0819728024721838,-0.470965166269384,-0.00806522528336329
"156",156,0.677161994418617,0.0688151519473954,-0.805761921695273,0.990664467533865
"157",157,0.527943675720788,0.154831909898446,-0.356283583618642,-0.925179999257705
"158",158,0.484932256998964,0.129562404851499,-0.174931388726566,-0.632705784000083
"159",159,0.393988958878974,0.127335295538842,0.221262037490163,-0.731557950921401
"160",160,0.551479825762401,0.0854695206587802,-0.311122609547325,-0.093402629508589
"161",161,0.532756852385515,0.10142821972836,-0.358996332339946,-0.22451963878594
"162",162,0.618816566904126,0.0872871778976637,-0.530048220966978,0.0189938331302852
"163",163,0.515575942824758,0.085637287233637,-0.122852455754264,-0.333417012148481
"164",164,0.57352974737702,0.0992579625173089,-0.644791245618589,0.146895571792177
"165",165,0.609949904395488,0.0841800664940374,-0.541864362851623,0.0761788226798656
"166",166,0.63462841371454,0.130304823012708,-0.794079604773456,0.0429573036552426
"167",167,0.580638376544509,0.0990843629997575,-0.594869703904351,0.282658034396288
"168",168,0.662289789632632,0.0814807257010052,-1.01997226083837,1.35507274518529
"169",169,0.592439105223543,0.0969831266295186,-0.576792257322187,0.0549291121859512
"170",170,0.587637320954075,0.093070022695927,-0.441448968554411,-0.225439616608704
"171",171,0.561472634808399,0.0826727993486424,-0.363629009368954,-0.00725305594112724
"172",172,0.629269500281764,0.0892722624792151,-0.567404544212512,0.235697358169551
"173",173,0.64264301738364,0.0973649957268942,-0.751875404070548,0.373764751223526
"174",174,0.649358040205497,0.112562809540307,-0.766633742094123,0.229371266520183
"175",175,0.690232345512632,0.08750275798506,-0.889430734549611,0.678636479606205
"176",176,0.54397903976081,0.0845929212792776,-0.297442719818909,-0.176906696172768
"177",177,0.373822934869309,0.0923152889675217,0.191480276642706,-0.217154376740107
"178",178,0.433729592989112,0.0985641721740426,0.186181859373748,-0.38201438511623
"179",179,0.387562711294422,0.12711433530411,0.328478477279314,-0.710499661558838
"180",180,0.621943360753699,0.092233517599508,-0.629390124150348,0.864766222553142
"181",181,0.539403610651827,0.111697737276978,-0.409841100386666,-0.427824941407958
"182",182,0.558698967513048,0.112072817218793,-0.400193593782689,-0.126860037949533
"183",183,0.473464152772382,0.108212054077762,-0.281653605819415,-0.462670891944621
"184",184,0.528783473566554,0.0966621316845094,-0.196230655218051,-0.338998034875485
"185",185,0.44569311388522,0.144015181436373,0.124963086452002,-1.061878771827
"186",186,0.638374955007449,0.0800956058598624,-0.707138368737122,0.553419452428822
"187",187,0.523509451441657,0.0818239607685629,-0.303598668854296,-0.178247162800862
"188",188,0.605379067061701,0.0827974025468467,-0.370593769662106,-0.273491268907021
"189",189,0.546373928409427,0.089969330026446,-0.256857314947616,-0.195869210236687
"190",190,0.674918974499407,0.0736540356496978,-0.752788107238288,0.593881049208334
"191",191,0.545962278782946,0.0926355280092929,-0.396058321429345,-0.0747508789174365
"192",192,0.597537826789988,0.0868078055176755,-0.486685329919052,0.0247701846001447
"193",193,0.684785749790016,0.0716235950459363,-0.899911614767059,1.66799476733154
"194",194,0.641014253976879,0.115255572037587,-0.877795033395463,0.207489784749516
"195",195,0.54614048157722,0.106165755452269,-0.542472346981479,0.0346089969627328
"196",196,0.676127569546739,0.0882299861196409,-0.838452379308744,0.967707265811364
"197",197,0.527799741191245,0.131922033554832,-0.481098806872079,-0.538801471503218
